Vendedor,Visitas,Total Visitas,Total Km,Total Horas
ECECB099,"[11871160, 11885306, 11885737, 12893505, 11933265, 12542331, 14191921, 11965436, 11871052, 12911385, 12987499, 13941335]",12,29.962012380155635,2.0
ECECBA91,"[11854265, 11886069, 11886886, 11829280, 12665907, 12892123, 12456387, 11886299, 12896690, 12857100, 11830069, 11857179]",12,59.17248386023236,2.0
ECECBA91,"[11854265, 11886069, 11886886, 11829280, 12665907, 12892123, 12456387, 11886299, 12896690, 12857100, 11830069, 11857179]",12,59.81839270645773,2.0
ECECBA01,"[11887709, 11887742, 11887603]",3,0.2899645132890828,0.5
ECECBA20,"[11887958, 11900971, 11887920, 13662912]",4,1.000471532234375,0.6666666666666666
ECECBA67,"[11888520, 11888555, 13357851, 11888459, 14022455, 11888627, 13238203, 12727390, 11888818, 11888303, 12552753, 12640354]",12,34.571909279337696,2.0
ECECB466,"[11888520, 11888555, 13357851, 11888459, 14022455, 11888627, 13238203, 12727390, 11888818, 11888303, 12552753, 12640354]",12,11.297051199538048,2.0
ECECBA33,"[11888963, 11901169, 12653724, 12507053, 12639220, 14080971, 11888935, 11888938, 13881598, 12729598, 12109657, 11888921]",12,27.333930407676327,2.0
ECECB440,"[11891263, 13971306, 11889375, 12967881, 13214646, 12519840, 12139923, 12909071, 11889360, 11898869, 12444363]",11,30.837472223077405,1.8333333333333335
ECECBA02,"[11892429, 11892405, 11940957, 13697295, 11892326, 12505666, 11892345, 11892518, 13707156, 11892628, 13695508, 11892667]",12,21.290220987050986,2.0
ECECB614,"[11893497, 12501548, 11893468, 11894441, 11893516, 12661592, 11893548, 13709073, 11891033]",9,37.712992514704325,1.5
ECECB093,"[11893754, 12259750, 11899530, 12537565, 12391381, 11894010, 12609048, 13714153, 11893743, 12745838, 13384674]",11,37.156335196680686,1.8333333333333335
ECECBA44,"[11894062, 13784826, 11894360, 11894353, 11894251, 11894152, 11894292, 13042946]",8,6.264980042790736,1.3333333333333333
ECECB616,"[11895085, 14159172, 12864434, 11896007, 13704600]",5,10.397463219728321,0.8333333333333333
ECECBA02,"[11896773, 12519846, 11896572, 13059987, 12909752, 13438023, 12987570, 13503403, 11841912, 11896691, 12980480, 11897201]",12,18.975086590800647,2.0
ECECB555,"[11896995, 12805595, 11897349, 14056252, 14229643, 11897178, 12130831, 13700577, 11897079, 11897225, 12842660, 11897047]",12,15.796031652970674,2.0
ECECB233,"[11897453, 11897516, 13119319, 13210826, 11897609, 13360576, 11897605, 12664903, 13021802, 11807999, 12542769, 11897416]",12,42.96531003423936,2.0
ECECB233,"[11897453, 11897516, 13119319, 14216551, 13210826, 11897609, 13360576, 11897605, 12664903, 13021802, 11807999, 12542769]",12,52.55487169922317,2.0
ECECB554,[11898557],1,0.0,0.16666666666666666
ECECB024,"[11899626, 11810259, 11810262, 11899631, 11810261]",5,16.585203968341386,0.8333333333333333
ECECB460,"[11805151, 11900035, 12588414, 11805073, 14191213, 12299834, 13659976, 14147873, 11805111, 11806325, 12968787, 11805126]",12,63.295670750834326,2.0
ECECBA27,"[11900253, 13504613, 12080917, 13150276, 11900361, 12807661, 14120077, 11900475, 12075589, 13958893, 14019923, 14117385]",12,9.766872873621324,2.0
ECECBA27,"[11900395, 12606706, 12309009, 13798844, 13441043, 12869412]",6,9.904113731151213,0.9999999999999999
ECECB586,"[11900581, 12680770, 13535629, 12979111, 11900320, 11900545, 13504536, 11900333, 13441156, 12208174, 11900829, 11900451]",12,21.208663818331875,2.0
ECECBA20,"[11901007, 11900974, 12838199, 14214797]",4,4.049634133264197,0.6666666666666666
ECECBA33,"[11888963, 11901169, 12653724, 12507053, 12639220, 14080971, 11888935, 11888938, 13881598, 12729598, 11888921, 11888225]",12,36.05644703522382,2.0
ECECB330,"[11901413, 11901536, 11925562, 12169421, 12259374, 12561755, 13488595, 14041557, 11884961, 11903582, 11925272, 11935321]",12,40.70389314553976,2.0
ECECB530,"[11901413, 11901536, 11925562, 12169421, 12259374, 12561755, 12909404, 13488595, 13707264, 14041557, 11884961, 11903352]",12,50.629275481946955,2.0
ECECB007,"[11901737, 11903776, 11905818, 11911731, 11912490, 12111352, 12286653, 14215187, 11906131, 11909774, 11909949, 11910754]",12,46.32231076520204,2.0
ECECB002,"[11902188, 11905960, 11911731, 11917085, 11922175, 12682237, 12781519, 13009027, 13484654, 13520927, 13786921, 14016780]",12,69.4168984295446,2.0
ECECB541,"[11901737, 11903776, 11905818, 11905960, 11911731, 11912490, 11922175, 12111352, 12286653, 13009027, 13786921, 14016780]",12,51.869489094209335,2.0
ECECB104,"[11901737, 11903776, 11905818, 11905960, 11911731, 11912490, 11922175, 12111352, 12286653, 13009027, 14215187, 11906131]",12,55.512113461778654,2.0
ECECB542,"[11902188, 11903776, 11905818, 11905960, 11910838, 11911731, 11912490, 11917085, 11922175, 12183419, 12286653, 12682237]",12,50.20904007792962,2.0
ECECB077,"[11906298, 11906472, 11909011, 11915415, 11919007, 11919449, 11921698, 11926048, 11926067, 12170711, 12505211, 12909404]",12,51.09818987501937,2.0
ECECB077,"[11906298, 11906472, 11909011, 11915415, 11919007, 11919449, 11921698, 11926048, 11926067, 12170711, 12505211, 12909404]",12,44.83896284270762,2.0
ECECB031,"[11906298, 11906472, 11909011, 11910838, 11915415, 11917085, 11919007, 11919449, 11926048, 11926067, 12170711, 12183419]",12,54.731302147764616,2.0
ECECB326,"[11905960, 11909011, 11910838, 11911731, 11915415, 11917085, 11922175, 11926048, 11926067, 12170711, 12183419, 12505211]",12,56.334555564111184,2.0
