COUNTRY_NAME,POC,Vendedor,Frequência_de_Visita,Dia_da_Visita,Semana_da_Visita,AVG_LATITUDE,AVG_LONGITUDE,Número_de_Compras,Faturamento_Mensal_USD,Faturamento_Mensal_USD_(formatado),Visita_Semanal,Semana_1,Semana_2,Semana_3,Semana_4,Dia_da_Semana,Quartil_Faturamento
EC,14089735,ECECB086,2,6,1.0,0.23578405,-78.2593582,5,1079.56,"$1,079.56",0.5,1,0,0,0,sex,Q3
EC,14090795,ECECB330,2,4,1.0,-0.3294463,-78.42521996667,5,428.55,$428.55,0.5,1,0,0,0,qua,Q2
EC,14090809,ECECBA71,2,3,2.0,-0.2698524,-79.46713395,8,1906.69,"$1,906.69",0.5,0,1,0,0,ter,Q4
EC,14092613,ECECBA51,1,5,3.0,-0.701238,-80.1051409,9,947.5,$947.50,0.25,0,0,1,0,qui,Q3
EC,14093698,ECECB277,2,4,1.0,-2.915405,-79.0038111,3,383.93,$383.93,0.5,1,0,0,0,qua,Q2
EC,14095550,ECECB401,1,3,4.0,-1.0668637,-79.3129509,6,2058.48,"$2,058.48",0.25,0,0,0,1,ter,Q4
EC,14096426,ECECBA52,1,7,2.0,-3.7093379,-78.7602745,3,641.04,$641.04,0.25,0,1,0,0,sab,Q3
EC,14097571,ECECB422,4,2,CMPL,-0.27163352,-79.17586146,3,431.42,$431.42,1.0,1,1,1,1,seg,Q2
EC,14097760,ECECBA90,4,2,CMPL,0.06815075,-80.0591702,2,429.13,$429.13,1.0,1,1,1,1,seg,Q2
EC,14097916,ECECB274,2,4,1.0,-2.8901975,-78.7764432,4,564.13,$564.13,0.5,1,0,0,0,qua,Q2
EC,14098175,ECECB586,2,5,1.0,-1.8939375,-79.555651,2,1038.2,"$1,038.20",0.5,1,0,0,0,qui,Q3
EC,14098179,ECECB007,2,6,2.0,-0.0840489,-78.5073062,8,9264.0,"$9,264.00",0.5,0,1,0,0,sex,Q4
EC,14098198,ECECB465,2,3,2.0,-1.95611,-79.236111,2,1395.0,"$1,395.00",0.5,0,1,0,0,ter,Q4
EC,14098295,ECECB051,2,4,1.0,-0.25615233333,-78.53196776667,8,756.62,$756.62,0.5,1,0,0,0,qua,Q3
EC,14098345,ECECB214,2,5,1.0,-1.32366325,-78.5841533,10,2422.78,"$2,422.78",0.5,1,0,0,0,qui,Q4
EC,14098367,ECECB394,2,4,2.0,-0.8453192,-78.66605545,5,357.2,$357.20,0.5,0,1,0,0,qua,Q1
EC,14098368,ECECBA96,2,2,2.0,-1.9488097,-77.99162805,4,976.07,$976.07,0.5,0,1,0,0,seg,Q3
EC,14100189,ECECB317,2,7,1.0,-0.18714383333,-76.6574357,5,5024.19,"$5,024.19",0.5,1,0,0,0,sab,Q4
EC,14100240,ECECB107,2,3,2.0,-0.92543255,-78.6305096,4,414.56,$414.56,0.5,0,1,0,0,ter,Q2
EC,14100241,ECECB232,2,5,1.0,-2.1310399,-79.8903275,4,332.02,$332.02,0.5,1,0,0,0,qui,Q1
EC,14100300,ECECB251,2,5,1.0,-2.22537095,-79.92744155,3,321.84,$321.84,0.5,1,0,0,0,qui,Q1
EC,14111128,ECECB599,2,2,1.0,-0.4307305,-76.99109975,14,876.6,$876.60,0.5,1,0,0,0,seg,Q3
EC,14112559,ECECB420,2,4,1.0,-0.22788526667,-79.16311133333,8,2264.44,"$2,264.44",0.5,1,0,0,0,qua,Q4
EC,14113076,ECECB186,1,5,2.0,0.9864161,-79.6539624,6,255.04,$255.04,0.25,0,1,0,0,qui,Q1
EC,14113947,ECECB219,2,2,1.0,-2.1261915,-80.00661426667,5,278.95,$278.95,0.5,1,0,0,0,seg,Q1
EC,14114008,ECECBA57,2,2,1.0,0.3288642,-79.4686693,11,2599.13,"$2,599.13",0.5,1,0,0,0,seg,Q4
EC,14114380,ECECB030,4,5,CMPL,-0.170075925,-78.483998375,5,2693.69,"$2,693.69",1.0,1,1,1,1,qui,Q4
EC,14114817,ECECB565,2,2,2.0,-0.25806986667,-79.1488311,1,393.77,$393.77,0.5,0,1,0,0,seg,Q2
EC,14114827,ECECB319,1,2,1.0,-0.0792355,-78.414713,4,248.68,$248.68,0.25,1,0,0,0,seg,Q1
EC,14115701,ECECBA14,2,2,2.0,0.1556654,-78.0667266,3,222.09,$222.09,0.5,0,1,0,0,seg,Q1
EC,14116882,ECECB191,2,3,2.0,-2.10933105,-79.500922,4,264.8,$264.80,0.5,0,1,0,0,ter,Q1
EC,14117052,ECECB071,2,3,2.0,-1.18797266667,-77.873695,3,565.97,$565.97,0.5,0,1,0,0,ter,Q2
EC,14117684,ECECBA94,4,3,CMPL,-3.7824582,-79.914519475,4,375.61,$375.61,1.0,1,1,1,1,ter,Q2
EC,14117806,ECECB325,4,3,CMPL,-0.239889925,-78.526309925,2,1111.24,"$1,111.24",1.0,1,1,1,1,ter,Q3
EC,14117817,ECECB025,1,4,1.0,-0.0611757,-78.4565897,4,319.23,$319.23,0.25,1,0,0,0,qua,Q1
EC,14119933,ECECBA23,1,6,3.0,-0.9498586,-78.6029228,5,247.38,$247.38,0.25,0,0,1,0,sex,Q1
EC,14121102,ECECB542,2,3,2.0,-0.18560133333,-78.48038093333,9,717.79,$717.79,0.5,0,1,0,0,ter,Q3
EC,14127864,ECECB058,2,2,2.0,0.7441352,-78.2430147,4,281.06,$281.06,0.5,0,1,0,0,seg,Q1
EC,14128909,ECECB570,2,2,1.0,-0.31985215,-78.988041,5,370.68,$370.68,0.5,1,0,0,0,seg,Q2
EC,14130389,ECECBA13,4,4,CMPL,-0.27537385,-79.468831975,7,886.23,$886.23,1.0,1,1,1,1,qua,Q3
EC,14130408,ECECBA13,2,5,1.0,-0.2764272,-79.46071605,6,780.46,$780.46,0.5,1,0,0,0,qui,Q3
EC,14130640,ECECB331,1,5,1.0,-0.3266717,-78.4621881,4,335.27,$335.27,0.25,1,0,0,0,qui,Q1
EC,14130969,ECECB127,2,2,2.0,-0.93948086667,-79.23691303333,1,478.22,$478.22,0.5,0,1,0,0,seg,Q2
EC,14131504,ECECB021,2,6,2.0,-0.26114495,-78.53850775,5,4091.33,"$4,091.33",0.5,0,1,0,0,sex,Q4
EC,14131801,ECECB276,4,3,CMPL,-2.7138123,-78.88860595,8,719.27,$719.27,1.0,1,1,1,1,ter,Q3
EC,14132620,ECECB043,2,4,1.0,-0.20503803333,-78.3783375,10,1488.78,"$1,488.78",0.5,1,0,0,0,qua,Q4
EC,14134776,ECECB065,4,2,CMPL,-0.81514896667,-76.89136243333,9,1778.81,"$1,778.81",1.0,1,1,1,1,seg,Q4
EC,14136120,ECECB505,4,3,CMPL,-2.1096192,-79.896717675,3,2361.5,"$2,361.50",1.0,1,1,1,1,ter,Q4
EC,14136140,ECECB308,2,4,2.0,-2.21522735,-79.9113881,5,869.26,$869.26,0.5,0,1,0,0,qua,Q3
EC,14136161,ECECBA97,1,5,2.0,0.9724549,-78.8877533,4,284.29,$284.29,0.25,0,1,0,0,qui,Q1
EC,14141374,ECECB178,2,2,1.0,-0.17859576667,-78.48037036667,7,274.36,$274.36,0.5,1,0,0,0,seg,Q1
EC,14141654,ECECB546,2,2,1.0,-0.21059375,-78.5240712,4,1353.19,"$1,353.19",0.5,1,0,0,0,seg,Q4
EC,14141880,ECECB240,2,4,1.0,-2.20706803333,-79.94502156667,8,663.83,$663.83,0.5,1,0,0,0,qua,Q3
EC,14143015,ECECBA12,2,4,1.0,-3.1888834,-79.85415315,8,1226.53,"$1,226.53",0.5,1,0,0,0,qua,Q4
EC,14145332,ECECB034,2,3,1.0,-0.1142284,-78.45023085,9,1029.35,"$1,029.35",0.5,1,0,0,0,ter,Q3
EC,14145489,ECECB586,2,2,1.0,-1.98442403333,-79.49127436667,7,2984.29,"$2,984.29",0.5,1,0,0,0,seg,Q4
EC,14145513,ECECB523,4,2,CMPL,-2.2057743,-79.9395212,5,924.67,$924.67,1.0,1,1,1,1,seg,Q3
EC,14145792,ECECB025,4,2,CMPL,-0.08057355,-78.448733525,2,250.35,$250.35,1.0,1,1,1,1,seg,Q1
EC,14148163,ECECB608,2,7,1.0,-1.08080825,-80.68214695,4,988.26,$988.26,0.5,1,0,0,0,sab,Q3
EC,14150138,ECECBA95,2,5,2.0,-4.0445544,-78.9162791,2,294.31,$294.31,0.5,0,1,0,0,qui,Q1
EC,14150430,ECECB068,1,5,3.0,-1.7329389,-77.9592371,7,858.07,$858.07,0.25,0,0,1,0,qui,Q3
EC,14152578,ECECB082,2,3,2.0,-1.1873293,-77.8738665,4,238.44,$238.44,0.5,0,1,0,0,ter,Q1
EC,14153142,ECECBA07,2,5,2.0,-3.06206565,-79.74463485,4,560.41,$560.41,0.5,0,1,0,0,qui,Q2
EC,14154429,ECECB048,1,5,1.0,-0.3152832,-78.5501569,4,290.6,$290.60,0.25,1,0,0,0,qui,Q1
EC,14154466,ECECB502,2,3,1.0,-2.0863432,-79.99828495,11,787.19,$787.19,0.5,1,0,0,0,ter,Q3
EC,14155373,ECECB437,2,6,2.0,0.65875625,-79.53839215,7,726.93,$726.93,0.5,0,1,0,0,sex,Q3
EC,14155848,ECECB586,2,2,1.0,-1.98459886667,-79.6034219,3,1153.27,"$1,153.27",0.5,1,0,0,0,seg,Q4
EC,14156075,ECECB578,2,3,2.0,-3.48148985,-79.96129805,6,808.86,$808.86,0.5,0,1,0,0,ter,Q3
EC,14156508,ECECBA14,2,4,1.0,0.0387245,-78.14131105,5,259.36,$259.36,0.5,1,0,0,0,qua,Q1
EC,14156533,ECECB523,4,3,CMPL,-2.21055305,-79.928639225,5,561.37,$561.37,1.0,1,1,1,1,ter,Q2
EC,14156992,ECECB569,2,3,2.0,0.74405195,-79.8489025,6,1257.86,"$1,257.86",0.5,0,1,0,0,ter,Q4
